No.,Yoga Name,Category,Effect Type,Formula,Planets Involved,Houses Involved,Signs Involved,Navamsa Involvement,Strength Conditions,Effect,Benefic/Malefic Nature,Intensity Level,Frequency (Common/Rare),Cancellation Conditions,Text Reference,Page Number,Shloka (if known),Interpretive Notes,Astro Tag(s),Variations/Subtypes,Chart Examples
1,Gajakesari Yoga,Lunar Yoga,"Fame, Wisdom, Success","Jupiter in Kendra (1st, 4th, 7th, or 10th) from Moon","Jupiter, Moon","1st, 4th, 7th, 10th from Moon",,Not required,"Jupiter should be strong, unafflicted","Grants intelligence, wisdom, leadership, popularity, respect",Benefic,Strong if Moon and Jupiter are both well-placed,Fairly common,Afflicted or combust Jupiter/Moon weakens the yoga,Three Hundred Important Combinations,1,,Strongest when Jupiter is in exaltation or own sign,"Raja Yoga, Dhana Yoga, Lunar Yoga",Gajakesari from Chandra Lagna or Lagna,Often seen in political or scholarly horoscopes
2,Sunapha Yoga,Lunar Yoga,"Wealth, Independence",Planets (excluding Sun) in 2nd from Moon,"Any planet except Sun, Moon",2nd from Moon,,Not specified,Stronger with benefics,"Self-reliant, intelligent, successful by own efforts",Generally Benefic,Moderate to Strong,Moderately common,No planet in 2nd from Moon,Three Hundred Important Combinations,1,,One of the Subha Kartari-type yogas,"Subha Yoga, Lunar Yoga",,Seen in self-made entrepreneurs
3,Anapha Yoga,Lunar Yoga,"Character, Respect, Comforts",Planets (excluding Sun) in 12th from Moon,"Any planet except Sun, Moon",12th from Moon,,Not specified,Better when formed by benefics,"Confident, self-reliant, well-dressed, enjoys comforts",Benefic,Moderate,Moderately common,No planet in 12th from Moon,Three Hundred Important Combinations,2,,Part of Subha Kartari group; improves mental stability,"Subha Yoga, Lunar Yoga",,Found in charts of dignified professionals
4,Durdhura Yoga,Lunar Yoga,"Wealth, Influence",Planets (excluding Sun) in both 2nd and 12th from Moon,"Any planet except Sun, Moon",2nd and 12th from Moon,,Not required,Strong benefics enhance yoga,"Powerful, influential, wealthy, respected by government",Benefic,Strong if well-formed,Less common,No planets on both sides of Moon,Three Hundred Important Combinations,3,,This is the strongest of the Subha Kartari yogas,"Subha Yoga, Lunar Yoga, Kartari",,Seen in CEOs and statesmen
5,Kemadruma Yoga,Arishta Yoga,"Misfortune, Poverty",No planets on either side of Moon and no planets in kendras,Moon,"2nd and 12th from Moon, Kendras",,Not relevant,No benefic intervention at all,"Loneliness, financial struggles, psychological weakness",Malefic,Very strong if unaided,Rare in pure form,Planets in kendras or in 2nd/12th from Moon cancel it,Three Hundred Important Combinations,3,,Most feared among Subha Kartari opposites,"Arishta, Moon-based, Dosha",,May appear in charts of ascetics or isolated individuals
6,Chandra-Mangala Yoga,Dhana Yoga,"Wealth, Enterprise",Moon and Mars in conjunction or mutual aspect,"Moon, Mars",Any (depends on position),,Optional,Unafflicted Moon and Mars,"Trade success, financial acumen, good for business",Neutral to Benefic,Moderate,Common,If heavily afflicted or debilitated,Three Hundred Important Combinations,4,,"Best when in 2nd, 4th, 10th, or 11th houses","Wealth, Lunar Yoga, Mars influence",,Prominent in traders’ charts
7,Adhi Yoga,Raja Yoga,"Power, Dignity","Benefics in 6th, 7th, and 8th from Moon","Moon, benefics","6th, 7th, 8th from Moon",,Not specified,Only benefics in those houses,"Leadership, ministerial status, success",Benefic,Strong,Rare in pure form,Presence of malefics in 6th/7th/8th,Three Hundred Important Combinations,5,,Higher results if Jupiter or Venus are involved,"Moon-based, Kendra Yoga, Benefic Yoga",Lagna-based Adhi Yoga,
8,Chatussagara Yoga,Maha Yoga,"Fame, Foundation",Planets in all four kendras from Lagna,Any four planets,"1st, 4th, 7th, 10th",,Not needed,Strong planets in kendras,"Global fame, foundational strength, wealth",Generally benefic,Strong,Rare,Missing planets in kendras,Three Hundred Important Combinations,5,,Major public success if all planets strong,"Kendra Yoga, Public Fame",,
9,Vasumati Yoga,Dhana Yoga,Wealth,"Benefics in Upachayas (3rd, 6th, 10th, 11th) from Lagna or Moon",Benefics,"3rd, 6th, 10th, 11th",,Not relevant,Only benefics involved,"Continuous income, generous lifestyle",Benefic,Moderate,Moderate,Presence of malefics,Three Hundred Important Combinations,6,,Not strong alone but excellent support yoga,"Wealth, Upachaya",,
10,Rajalakshana Yoga,Raja Yoga,"Dignity, Command","Moon, Mercury, Venus, Jupiter in Kendras from Lagna","Moon, Mercury, Venus, Jupiter","1st, 4th, 7th, 10th",,Not specified,Planets must be strong,"Royal grace, prosperity, public recognition",Strongly benefic,Strong,Rare,Combustion or affliction,Three Hundred Important Combinations,6,,Must occur in kendras to be valid,"Kendra Yoga, Benefic Combo",,
11,Vanchanachorabheethi Yoga,Arishta Yoga,"Mental Anxiety, Insecurity",Affliction to 2nd and 8th houses (by malefics or nodes),"Malefics, Rahu/Ketu, Saturn","2nd, 8th",,Not mentioned,Stronger if Lagna is also weak,"Fear of enemies, suspicion, mental unrest",Malefic,Moderate,Moderate,Benefics in 2nd or 8th or strong Lagna lord,Three Hundred Important Combinations,7,,Not to be judged in isolation; context matters,"Arishta, Affliction",,
12,Sakata Yoga,Arishta Yoga,Loss and Recovery,"Moon in 6th, 8th, or 12th from Jupiter","Moon, Jupiter","6th, 8th, or 12th from Jupiter",,Not required,"Moon weak, Jupiter also weak or combust","Wealth rises and falls, instability in life",Mixed,Strong if both planets are weak,Moderate,Moon and Jupiter in mutual kendras,Three Hundred Important Combinations,8,,Often seen in spiritual or fluctuating wealth charts,"Lunar, Arishta",,
13,Amala Yoga,Subha Yoga,"Reputation, Clean Karma",Benefic in 10th from Moon or Lagna,"Venus, Jupiter, Mercury (if unafflicted)",10th from Lagna or Moon,,Optional,Benefics should not be combust or afflicted,"Lasting fame, noble reputation, moral strength",Benefic,Strong if in 10th and unafflicted,Common,Presence of malefic or combust benefics in 10th,Three Hundred Important Combinations,9,,Highly desirable for career and legacy,"Career, Subha Yoga",,
14,Parvata Yoga,Raja Yoga,"Wealth, Charity, Popularity",Benefics in Kendras and malefics in 6th/8th/12th,"Jupiter, Venus, Saturn, Mars, etc.","Kendras, 6th, 8th, 12th",,Not mentioned,"Strong benefics, weak malefics in dusthanas","Charitable, famous, happy and luxurious life",Benefic,Strong,Uncommon,Affliction to benefics in Kendras,Three Hundred Important Combinations,10,,One of the desirable yoga combinations,"Kendra Yoga, Fame",,
15,Kahala Yoga,Raja Yoga,"Courage, Enterprise",4th and 9th lords in mutual kendras and Lagna lord strong,"Lagna lord, 4th and 9th lords","1st, 4th, 9th",,Not required,Lagna lord must be strong and unafflicted,"Bold, successful in difficult situations, commander-like",Benefic,Strong,Less common,Weak Lagna or combustion,Three Hundred Important Combinations,11,,"Good for political, military roles","Raja Yoga, Courage",,
16,Vesi Yoga,Surya (Sun-based) Yoga,"Speech, Intelligence, Command",Planet(s) (except Moon) in 2nd from Sun,Any except Moon,2nd from Sun,,Optional,Benefics give better results,"Intelligent, eloquent, successful in ventures",Mixed,Moderate,Common,No planets in 2nd from Sun,300 Important Combinations,13,,"Enhanced if Mercury, Venus or Jupiter involved","Sun Yoga, Vesi",,
17,Vasi Yoga,Surya (Sun-based) Yoga,"Control, Practicality",Planet(s) (except Moon) in 12th from Sun,Any except Moon,12th from Sun,,Optional,Unafflicted planets give better results,"Self-restrained, capable, organized",Mixed,Moderate,Common,No planets in 12th from Sun,300 Important Combinations,14,,Often found in disciplined individuals,"Sun Yoga, Vasi",,
18,Obhayachari Yoga,Surya (Sun-based) Yoga,"Balance, Diplomacy",Planets (except Moon) in both 2nd and 12th from Sun,Any except Moon,2nd and 12th from Sun,,Optional,Benefics give best results,"Balanced, clever, diplomatic and poised",Mixed,Moderate,Uncommon,Empty 2nd and/or 12th from Sun,300 Important Combinations,15,,Gives worldly sense and flexibility,"Sun Yoga, Obhayachari",,
19,Hamsa Yoga,Panchamahapurusha Yoga,"Wisdom, Purity, Spiritual Strength",Jupiter in Kendra in own or exalted sign,Jupiter,"1st, 4th, 7th, 10th","Cancer (exalted), Sagittarius, Pisces",Optional,Unafflicted Jupiter,"Highly spiritual, learned, noble character",Highly Benefic,Very Strong,Rare,Afflicted or combust Jupiter,300 Important Combinations,16,,One of the 5 Mahapurusha Yogas,"Panchamahapurusha, Jupiter",,
20,Malavya Yoga,Panchamahapurusha Yoga,"Luxury, Beauty, Influence",Venus in Kendra in own or exalted sign,Venus,"1st, 4th, 7th, 10th","Taurus, Libra, Pisces (exalted)",Optional,Venus unafflicted and strong,"Charming, wealthy, artistic, refined",Benefic,Strong,Uncommon,Afflicted or combust Venus,300 Important Combinations,17,,Gives creative brilliance,"Panchamahapurusha, Venus",,
21,Sasa Yoga,Panchamahapurusha Yoga,"Power, Endurance",Saturn in Kendra in own or exalted sign,Saturn,"1st, 4th, 7th, 10th","Capricorn, Aquarius, Libra (exalted)",Optional,"Saturn strong, not combust or debilitated","Leadership, long life, social influence",Neutral to Benefic,Strong,Uncommon,Afflicted or combust Saturn,300 Important Combinations,18,,Ideal for rulers and hard workers,"Panchamahapurusha, Saturn",,
22,Ruchaka Yoga,Panchamahapurusha Yoga,"Valor, Military Success",Mars in Kendra in own or exalted sign,Mars,"1st, 4th, 7th, 10th","Aries, Scorpio, Capricorn (exalted)",Optional,Mars strong and unafflicted,"Warrior nature, courage, dynamism",Neutral,Very Strong,Uncommon,"Mars weak, combust, or afflicted",300 Important Combinations,19,,Favors military and athletic careers,"Panchamahapurusha, Mars",,
23,Bhadra Yoga,Panchamahapurusha Yoga,"Speech, Intelligence",Mercury in Kendra in own or exalted sign,Mercury,"1st, 4th, 7th, 10th","Gemini, Virgo (own), Virgo (exalted)",Optional,Mercury strong and unafflicted,"Smart, diplomatic, business skills",Benefic,Strong,Uncommon,Afflicted or combust Mercury,300 Important Combinations,20,,Great for commerce and writing,"Panchamahapurusha, Mercury",,
24,Budha-Aditya Yoga,Raja Yoga,"Intelligence, fame",Sun and Mercury conjunction (not within 10°),"Sun, Mercury",Depends on placement,"Neutral, avoid combustion",Not specified,Mercury must not be within 10° of Sun,"Highly intelligent, respected, surrounded by comforts",Benefic,Moderate,Somewhat Common,If Mercury is combust (within 10°),Page 54,54,,Mercury retains power despite proximity to Sun under certain degrees,"Intellect, Government",None,Chart No. 24
25,Mahabhagya Yoga,Fortune Yoga,Exceptional fortune,"For males: Sun, Moon, Lagna in odd signs during day birth; for females: same in even signs during night birth","Sun, Moon",Lagna,Odd or Even signs,Not specified,Day or night birth matched with odd/even signs,"Fame, fortune, long life, royal or equal status",Highly Benefic,High,Rare,Mismatch in time (day/night) and sign types,Page 55,55,,"Ideal synergy of Sun, Moon, Lagna for fortune","Fortune, Life path",Gender-based,Chart No. 29
26,Pushkala Yoga,Subha Yoga,Prosperity,Benefics in Lagna and in kendras,Multiple benefics,1st and kendras,Friendly or exalted signs preferred,Not specified,Strong benefics and strong Lagna lord,"Strength, intelligence, prosperity",Benefic,Medium to High,Occasional,Lagna lord weak or afflicted,Page 56,56,,Strength of Lagna lord is critical,"Wealth, Influence",None,
27,Lakshmi Yoga,Raja Yoga,Wealth and prosperity,"Lagna lord and 9th lord are benefic, strong, and related","Lagna lord, 9th lord","1st, 9th",Own or exalted signs preferred,Preferably friendly/exalted,Both lords should be strong and unafflicted,"Financial stability, fame, happiness",Benefic,High,Rare,Weak or afflicted lords,Page 58,58,,Named after goddess Lakshmi—giver of prosperity,"Wealth, Fortune",None,
28,Gauri Yoga,Subha Yoga,"Charity, fame",Lord of Navamsa occupied by 10th lord exalted and joins Lagna lord,"10th lord, Lagna lord",10th,Exaltation signs,Yes – crucial for this yoga,Navamsa lord exalted and strong,"Respect, charitable nature, religious conduct",Benefic,Moderate to High,Rare,Weak Navamsa lord or not in 10th,Page 60,60,,Also has alternate definition based on Moon and 9th lord,"Career, Status, Dharma",Two definitions exist,Chart No. 29
29,Bharathi Yoga,Subha Yoga,"Scholarship, learning","Exalted Navamsa lord of 2nd, 5th, or 11th lord in conjunction with 9th lord","2nd, 5th, 11th lords, 9th lord","2nd, 5th, 9th, 11th",Exalted signs,"Yes – for each of 2nd, 5th, 11th lords",Exaltation and conjunction with 9th lord,"Fame, musical and scholarly success, charm",Benefic,High,Rare,No conjunction with 9th lord,Page 62,62,,"Must be judged independently for 2nd, 5th, and 11th lords","Scholarship, Arts",Three variants depending on which lord qualifies,Chart No. 30
30,Chapa Yoga,Raja Yoga,Power and Wealth,Lagna lord exalted; 4th and 10th lords in mutual exchange,"Lagna lord, 4th lord, 10th lord","1st, 4th, 10th",Exalted signs,Not specified,"Exalted Lagna lord, true exchange","Influence over finances, high status",Benefic,Strong,Rare,No exchange or weak Lagna lord,Page 63,63,,Typical of financial controllers or secretaries,"Finance, Leadership",None,Chart No. 30
31,Sreenatha Yoga,Raja Yoga,Fortune and Status,Exalted 7th lord in 10th; 10th lord with 9th lord,Mercury (for Sagittarius Lagna),"7th, 9th, 10th",Primarily Sagittarius,Not specified explicitly,7th lord must be exalted; Lagna ideally Sagittarius,"Wealth, divine favor, agreeable nature, family harmony",Highly Benefic,Rare and Powerful,Rare,Applies only to Sagittarius; conditional for Libra and Cancer,300 Important Combinations,64,Not mentioned,"Powerful contact among 7th, 9th, and 10th; confers fame and spiritual grace","['Raja Yoga', 'Sagittarius Specific']",Possible if 7th lord aspects 10th,None explicitly mentioned
32,Lagna Malika Yoga,Malika Yoga,Status and Wealth,Seven planets in seven contiguous houses from Lagna,All seven classical planets,1st to 7th,Depends on Lagna,Not explicitly detailed,Must be continuous occupation,"King-like stature, wealth, power",Depends on planets involved,Strong,Rare,Break in planetary sequence,300 Important Combinations,65,Not mentioned,Twelve types exist based on starting house,"['Malika Yoga', 'Lagna Focused']",12 variations by Bhava,Not provided
33,Dhana Malika Yoga,Malika Yoga,Wealth,Seven planets from 2nd house onward,All seven planets,2nd to 8th,Based on individual chart,Not mentioned,Contiguous occupation,"Wealthy, resolute, somewhat unsympathetic",Mixed,Strong,Rare,Non-contiguity,300 Important Combinations,65,Not mentioned,Values wealth over emotional warmth,"['Malika', 'Wealth']",Part of 12 Malika Yogas,None
34,Vikrama Malika Yoga,Malika Yoga,Courage and Command,Seven planets from 3rd house onward,Seven classical planets,3rd to 9th,Dependent on Lagna,Not mentioned,Contiguous placement,"Ruler, brave, sickly",Mixed,Moderate,Rare,Broken planetary sequence,300 Important Combinations,65,Not known,Grants authority but challenges health,"['Malika', 'Courage']",One of twelve Malika types,None
35,Sukha Malika Yoga,Malika Yoga,Domestic Comfort,Seven planets from 4th house,Seven classical,4th to 10th,Chart specific,Not mentioned,Sequential placement,"Charitable, wealthy, domestic happiness",Benefic-dominant,Moderate to Strong,Rare,Planetary gap,300 Important Combinations,65,Not known,Happiness from home and deeds,"['Malika', 'Sukha']",Part of Malika set,Not mentioned
36,Putra Malika Yoga,Malika Yoga,Spiritual Fame,Seven planets from 5th house,Seven planets,5th to 11th,Varies,Not stated,Contiguous house occupation,"Religious, spiritually recognized",Mostly Benefic,High,Rare,Broken sequence,300 Important Combinations,65,Not given,Emphasizes dharma and progeny,"['Malika', 'Religious']",Part of Bhava-based Malika yogas,None provided
37,Satru Malika Yoga,Malika Yoga,Material Struggle,Seven planets from 6th house,Seven,6th to 12th,Chart-dependent,Not specified,No gap in placement,"Greed, financial struggle, hardship",Mixed,Low to Moderate,Uncommon,Any planetary break,300 Important Combinations,65,Not stated,Indicates struggle due to karma,"['Malika', 'Karma']",Part of 12 Malika yogas,None
38,Kalatra Malika Yoga,Malika Yoga,Influence & Charm,Seven planets from 7th house,Seven,7th to Lagna,Flexible,Not detailed,Unbroken placement,"Desired by women, social influence",Benefic,High,Rare,Break in sequence,300 Important Combinations,65,None,Charisma-based influence,"['Malika', 'Marriage', 'Influence']",1 of 12 types,None
39,Randhra Malika Yoga,Malika Yoga,Adversity,Seven planets from 8th house,Seven,8th to 2nd,Chart-based,Not given,All planets contiguously placed,"Hen-pecked, financial issues",Mostly Malefic,Low,Rare,Planetary gaps,300 Important Combinations,65,Not mentioned,Challenging domestic and financial life,"['Malika', 'Obstacles']",Yes,None
40,Bhagya Malika Yoga,Malika Yoga,Fortune,Seven planets from 9th house,Seven,9th to 3rd,Chart dependent,Not listed,Unbroken sequence,"Wealthy, religious, mighty",Mostly Benefic,High,Rare,Planetary discontinuity,300 Important Combinations,65,No,Combines spiritual and material prosperity,"['Malika', 'Bhagya']",None stated,None
41,Karma Malika Yoga,Malika Yoga,Reputation and Virtue,Seven planets from 10th house,Seven,10th to 4th,Depends on Karma Bhava,Not detailed,Contiguity critical,"Virtuous, socially respected",Balanced,High,Rare,Break in sequence,300 Important Combinations,65,Not given,Signifies career strength and virtue,"['Malika', 'Karma']","Yes, per Bhava",Not listed
42,Labha Malika Yoga,Malika Yoga,Wealth and Pleasures,Seven planets from 11th house,Seven,11th to 5th,Based on 11th house,Not noted,Must be continuous,"Wealthy, gains from women",Mostly Benefic,High,Uncommon,Non-contiguity,300 Important Combinations,65,None,"Attracts wealth, success from social circles","['Malika', 'Gain']",Yes,No
43,Vyaya Malika Yoga,Malika Yoga,Liberality and Honour,Seven planets from 12th house,Seven,12th to 6th,Based on 12th house,Not available,Contiguous planetary placement,"Respected, honoured, liberal",Mixed,Moderate,Rare,Any planetary gap,300 Important Combinations,65,None,May reflect spiritual detachment or fame,"['Malika', 'Vyaya']","Yes, 12 total",None
44,Shankha Yoga,Raja Yoga,"Wealth, Comfort, Happiness",5th and 6th lords in mutual Kendras and Lagna strong,"Lords of 5th, 6th, Lagna","1st, 5th, 6th",Depends on Lagna and planetary lords,Not explicitly required,Strong Lagna is essential,Assures general happiness and contentment,Primarily Benefic,Moderate to High,Fairly Common,Weak Lagna may nullify effects,300 Important Combinations,66,,This yoga assures a peaceful and fulfilling life when occurring in a strong horoscope,"['Raja Yoga', 'Happiness', 'Comfort']",,
45,Bheri Yoga,Raja Yoga,"Happiness, Status","Lagna lord, Jupiter, and Venus in mutual Kendras; 9th lord strongly placed","Lagna Lord, Jupiter, Venus, 9th Lord","1st, 4th, 7th, 10th, 9th",Context-dependent,Implied via strength of 9th lord,Powerful 9th lord needed,"Happy and comfortable life, possible prominence",Benefic,High,Moderately Rare,Afflictions to 9th lord or Kendras reduce effect,300 Important Combinations,67,,Classical Raja Yoga if 9th lord is also connected with Dharma Trikona,"['Raja Yoga', 'Kendra', 'Bhagya']",,['Chart No. 32']
46,Mridanga Yoga,Raja Yoga,"Fame, Honour",Navamsa lord of an exalted planet in friendly/exalted sign in Kendra/Trikona; strong Lagna lord,"Exalted planet, Navamsa lord, Lagna lord","1st, 5th, 9th, 4th, 7th, 10th",Friendly or exalted signs for relevant lords,Essential,Strong Lagna lord; Navamsa lord in own/exalted/friendly sign,"Bestows high respect, influence, and fame",Mostly Benefic,High,Rare,Weak Lagna lord or Navamsa lord,300 Important Combinations,68,,Complex yet powerful; especially influential in political or royal horoscopes,"['Raja Yoga', 'Navamsa', 'Influence']",,['Chart No. 33']
47,Parijatha Yoga,Raja Yoga,Spiritual/Political Power,Ascendant lord's house lord's sign lord in a Kendra/Trikona/exaltation/own sign,Multiple layers of lords,Kendra and Trikona houses,"Exaltation, own, or friendly signs","Yes, indirectly",Needs strength and dignity in every layer of house-sign-lord chain,"Endows happiness, power, and respect from rulers",Strong Benefic Potential,Very High,Rare,"If any component is weak or afflicted, result diminishes",300 Important Combinations,70,,"A layered yoga, comparable to a compound Raja Yoga with spiritual overtones","['Parivraja', 'Raja Yoga', 'Spiritual']",,
48,Gaja Yoga,Raja Yoga,"Wealth, Intelligence, Stability","Multiple rare planetary combinations, sometimes confused with Gajakesari","Usually Jupiter, Moon, others vary","Lagna, Kendras",Context-dependent,Usually favorable Navamsa involvement is needed,Strong benefics involved,"Endows the native with nobility, respect, and a philosophical mind",Benefic,Medium to High,Rare,If benefics are debilitated or afflicted,300 Important Combinations,71,,Should not be confused with Gajakesari; rare in modern charts,"['Raja Yoga', 'Wisdom']",,
49,Kalanidhi Yoga,Raja Yoga,"Scholarship, Wealth",Jupiter and Venus in Kendras in exalted/friendly/own signs,"Jupiter, Venus","Kendras (1st, 4th, 7th, 10th)","Own, exaltation, or friendly signs of Jupiter and Venus",Ideally favorable,Both planets must be strong and well-placed,"Makes one an erudite, honored, and respected figure",Highly Benefic,High,Rare,Affliction or weakness of either planet,300 Important Combinations,73,,"Highly auspicious for scholars, educators, and priests","['Jupiter', 'Venus', 'Scholarship']",,
50,Amsavatara Yoga,Divine Yoga,Divine Incarnation,"Jupiter in Lagna, Venus in 4th, Mercury in 7th, Moon in 10th","Jupiter, Venus, Mercury, Moon","1st, 4th, 7th, 10th",Context-dependent,Not explicitly required but strength is implied,All planets involved must be unafflicted and strong,"Revered personality, respected universally, indicates divine incarnation",Supremely Benefic,Extremely High,Exceptionally Rare,Any affliction to the planets or deviation from placements,300 Important Combinations,75,,Considered an incarnation-type yoga—very rare and revered,"['Divine', 'Kendra Yoga', 'Incarnation']",,
51,Harihara Brahmi Yoga,Spiritual Yoga,"Spirituality, Fortune","Combination of strong benefic placements involving Brahma, Vishnu, Shiva principles","Jupiter, Sun, Moon (typically)",Trikonas and Kendras,,Benefic planets strong in Navamsa,Benefics well-placed and unafflicted,Combines spiritual and material success,Benefic,Strong,Rare,Affliction to key planets,Three Hundred Important Combinations,56,,Linked with divine guidance and dharmic actions,"Raja Yoga, Brahmi Yoga",,
52,Kusuma Yoga,Raja Yoga,"Fame, Prosperity","Jupiter, Moon and Sun in Lagna, 7th and 2nd respectively","Jupiter, Moon, Sun","1st, 2nd, 7th",,Not specified,Strong Lagna lord and Jupiter,"Power, influence, and dignity",Benefic,Strong,Rare,Affliction to any of the key planets,Three Hundred Important Combinations,58,,Strong indicator of royal success,Raja Yoga,,
