No.,Yoga Name,Category,Effect Type,Formula,Planets Involved,Houses Involved,Signs Involved,Navamsa Involvement,Strength Conditions,Effect,Benefic/Malefic Nature,Intensity Level,Frequency (Common/Rare),Cancellation Conditions,Text Reference,Page Number,Shloka (if known),Interpretive Notes,Astro Tag(s),Variations/Subtypes,Chart Examples
53,Matsya Yoga,Form Yoga,Wealth and Expansion,"Planets occupy 2nd, 5th, 8th, 11th houses",All,"2nd, 5th, 8th, 11th",,,More benefics in key houses,"Powerful and wealthy, strong influence",Mixed depending on planets,Moderate to Strong,Moderately rare,Malefics dominating or combust,Three Hundred Important Combinations,60,,Gives stability and resourcefulness,Akriti Yoga,,
54,Kurma Yoga,Akriti Yoga,"Strength, Wealth","Planets in 2nd, 3rd, 10th and 11th houses",All,"2nd, 3rd, 10th, 11th",,,Strong Lagna and 10th lords,"Stable, strong, wealthy, influential",Mixed,Moderate,Moderately common,Affliction to lords of 10th/11th,Three Hundred Important Combinations,62,,"Signifies foundation and support, like a tortoise shell",Form Yoga,,
55,Devendra Yoga,Raja Yoga,"Leadership, High Status","Strong Lagna lord, Jupiter in Kendra, Sun exalted or in own house","Lagna Lord, Jupiter, Sun","1st, 4th, 7th, 10th",,Sun/Jupiter strong in Navamsa,Lagna lord exalted or well placed,"Leader-like qualities, powerful and commanding",Benefic,Strong,Rare,Affliction to Jupiter or Lagna lord,Three Hundred Important Combinations,63,,"Represents lordship, Deva qualities",Raja Yoga,,
56,Makuta Yoga,Royal Yoga,"Royalty, Success, Recognition","Benefics in Kendras, Lagna lord in own/exalted sign","Benefics, Lagna lord","1st, 4th, 7th, 10th",,Lagna lord strong in Navamsa,Benefics unafflicted,"Royal status, fame, wealth",Benefic,High,Rare,Malefics in Kendras,Three Hundred Important Combinations,64,,Makuta means crown – headship,Raja Yoga,,
57,Chandika Yoga,Power Yoga,"Fierce Power, Victory","Mars and Moon in mutual kendras or trines, Mars exalted","Mars, Moon","1st, 4th, 7th, 10th or 1st, 5th, 9th","Capricorn, Cancer",Mars in strong Navamsa,Mars strong and unafflicted,"Courageous, intense personality, powerful leadership",Generally Benefic,Very Strong,Very rare,Affliction to Mars or Moon,Three Hundred Important Combinations,65,,Linked to Durga’s fierce form – great protector,"Chandika, Power Yoga",,
58,Jaya Yoga,Raja Yoga,"Victory, Success, Longevity",6th lord debilitated and 10th lord exalted,"6th lord, 10th lord","6th, 10th",,Not specified,10th lord must be in deep exaltation,"Happy, victorious, successful, long-lived",Mostly Benefic,Strong if exaltation and debilitation are exact,Rare,If 10th lord is not exalted or 6th not debilitated,Three Hundred Important Combinations,88,,Notable impact when 10th lord is in deep exaltation,"Victory Yoga, Raja Yoga",,"Seen in prophets, religious leaders:contentReference[oaicite:0]{index=0}"
59,Vidyut Yoga,Dhana Yoga / Raja Yoga,"Wealth, Pleasure, Status",11th lord in deep exaltation joins Venus in a Kendra from Lagna lord,"11th lord, Venus, Lagna lord",Kendras from Lagna lord,,Not specified,11th lord must be in deep exaltation,"Charitable, wealthy, king-like status",Benefic,Strong when all planets involved are well-placed,Rare,Weak or afflicted 11th lord or Venus,Three Hundred Important Combinations,89,,"Good control over wealth, luxury-loving","Dhana Yoga, Raja Yoga",,Seen in treasurers and patrons of wealth:contentReference[oaicite:1]{index=1}
60,Gandharva Yoga,Kala Yoga,"Artistic Talent, Fame","10th lord in a Kama Trikona, Lagna lord and Jupiter associated, Sun exalted, Moon in 9th","10th lord, Lagna lord, Jupiter, Sun, Moon","3rd, 7th, 11th (Kama Trikonas), 9th",,Not mentioned,Sun should be strong and exalted,"Famous, skilled in fine arts, well-dressed, lives up to 68",Benefic,High when all conditions are met,Rare,Absence of any key factor,Three Hundred Important Combinations,90,,"Refers to music, dance, poetry arts mastery","Kala Yoga, Artistic Yoga",,"Seen in celebrated musicians, dancers:contentReference[oaicite:2]{index=2}"
61,Siva Yoga,Raja Yoga,"Virtue, Success, Trade","5th lord in 9th, 9th lord in 10th, 10th lord in 5th","5th, 9th, 10th lords","5th, 9th, 10th",,Not specified,Good mutual relationships among lords,"Big trader, virtuous, wise, successful",Benefic,Strong if mutual planetary relationships are benefic,Moderate,Hostile planetary relationships,Three Hundred Important Combinations,90,,Stronger for certain Lagnas like Mesha,"Raja Yoga, Trade Yoga",,Used to explain traders and commanders:contentReference[oaicite:3]{index=3}
62,Vishnu Yoga,Raja + Dhana Yoga,"Fortune, Influence, Longevity",Navamsa lord of 9th lord + 10th lord join 2nd house with 9th lord,"9th lord, 10th lord, Navamsa lord","2nd, 9th, 10th",,Essential,Navamsa lord must have high Shadbala,"Fortune from many countries, strong, witty, long-lived",Benefic,Very strong if Navamsa lord is powerful,Rare,Weak Navamsa lord or malefic in 2nd,Three Hundred Important Combinations,91,,Combines Raja and Dhana Yoga features,"Vishnu Yoga, Dhana Yoga, Raja Yoga",,Seen in royals and government dignitaries:contentReference[oaicite:4]{index=4}
63,Brahma Yoga,Divine Yoga,"Wisdom, Philanthropy",Jupiter and Venus in Kendras from 9th and 11th lords; Mercury in Kendra from Lagna or 10th lord,"Jupiter, Venus, Mercury","Kendras (1, 4, 7, 10) from specified lords",,Not mentioned,Natural benefics must be strong; lagna-dependent exceptions apply,"Highly learned, charitable, enjoys good food, respected by Brahmins, long life",Benefic,Strong when all three conditions are met,Rare (due to complex conditions),Any of the 3 requirements not met,Three Hundred Important Combinations,94,,"Not fully possible in certain Lagnas like Aries, Cancer, Virgo, Sagittarius","Raja Yoga, Benefic Yoga",Partial Brahma Yoga,Chart No. 44
64,Indra Yoga,Royal Yoga,"Fame, Courage, Royalty",Lords of 5th and 11th interchange; Moon in 5th,"Lords of 5th and 11th, Moon","5th, 11th",,Not mentioned,Moon must be unafflicted,"Fame, king of kings, but may have short life",Benefic with caveat,High but unpredictable,Very rare,"Moon not in 5th, no exchange",Three Hundred Important Combinations,95,,Not always confers longevity,"Raja Yoga, Exchange Yoga",,"Examples include historical leaders (Alexander, Shankara)"
65,Ravi Yoga,Solar Yoga,"Recognition, Knowledge",Sun in 10th; 10th lord in 3rd with Saturn,"Sun, 10th lord, Saturn","10th, 3rd",,Not required,Sun and Saturn well-placed; Lagna-dependent,"Respected by rulers, famed from age 15+, scholarly",Mixed,High if all planets well placed,Very rare,Sun not in 10th or no Saturn–10th lord conjunction,Three Hundred Important Combinations,96,,Difficult for many Lagnas due to astronomical positions,"Raja Yoga, Solar Influence",,Chart No. 45
66,Garuda Yoga,Lunar Yoga,"Strength, Eloquence, Danger in 34th year",Lord of Moon's Navamsa exalted; birth in daytime during waxing Moon,"Moon, its Navamsa lord",,,Yes – Moon’s Navamsa lord exalted,Moon must be waxing; daytime birth,"Polished speech, fame, danger from poison in 34th year",Mixed,Moderate to Strong,Rare,Moon waning or night birth,Three Hundred Important Combinations,98,,Moon-focused; danger prediction is debated,"Lunar Yoga, Rare Yoga",,Chart No. 46
67,Go Yoga,Wealth Yoga,"Royalty, Strength, Wealth",Strong Jupiter in Moolatrikona with 2nd lord; Lagna lord exalted,"Jupiter, 2nd lord, Lagna lord","1st, 2nd, Sagittarius (Jupiter’s Moolatrikona)",Sagittarius,Not explicitly mentioned,Jupiter must be in first 13° of Sagittarius,"High status, noble birth, powerful",Benefic,Strong if conditions met,Rare due to precise requirements,Jupiter not in Moolatrikona or Lagna lord not exalted,Three Hundred Important Combinations,99,,More rare than Gajakesari; periodic in nature,"Dhana Yoga, Rare Yoga",,Not specified
68,Gola Yoga,Malefic Yoga,Intellect without happiness,Moon in Lagna; Mars in 7th; Jupiter in 10th; Saturn in 4th,"Moon, Mars, Jupiter, Saturn","1st, 4th, 7th, 10th (Kendras)",,Not required,Exact placement in Kendras required,"Intelligent, restless, lacks joy",Mixed to Malefic,Moderate,Rare,Any of the placements missing,Three Hundred Important Combinations,101,,A unique configuration based on Kendra planets,"Kendra Yoga, Mixed Yoga",,Not specified
69,Thrilochana Yoga,Special Yoga,"Divine Sight, Fame","Jupiter, Moon, Sun in 1st, 7th, and 2nd houses","Jupiter, Moon, Sun","1st, 2nd, 7th",,Not required,Planets must be strong,"Possesses divine vision, famous",Highly Benefic,Strong,Rare,If placements not exact,Three Hundred Important Combinations,102,,Strong indicator of spiritual knowledge,"Spiritual Yoga, Divine Vision",,Not mentioned
70,Kulavardhana Yoga,Family Prosperity Yoga,Growth of Lineage,Ascendant lord in Kendra with 2nd lord and Jupiter in 11th,"Lagna lord, 2nd lord, Jupiter","1st, 2nd, 11th",,Not mentioned,All planets should be well-disposed,Leads to growth and fame of family/clan,Benefic,Moderate to Strong,Occasional,Missing Kendra or 11th house involvement,Three Hundred Important Combinations,102,,Related to lineage prosperity,"Dhana Yoga, Family Lineage",,Not mentioned
71,Yupa Yoga,Nabhasa - Akriti Yoga,"Liberal, Charitable","All planets occupy 4 contiguous houses from Lagna (e.g., 1st to 4th)",All 7 planets,Any 4 contiguous houses from Lagna or kendras,,Not required,All 7 planets should be in sequence without breaks,"Liberal, self-possessed, known for charity",Generally Benefic,Moderate,Occasional,If planets are not in four contiguous houses,Three Hundred Important Combinations,125,,Considered a career clue yoga; stronger if involving Kendras,"Nabhasa, Akriti, Career Yoga",,Chart No. 48 in the book
72,Ishu Yoga,Nabhasa - Akriti Yoga,Administrative Power,"All planets occupy 4th, 5th, 6th, and 7th houses",All 7 planets,4th to 7th,,Not required,Planets should be without gap in sequence,"Success in prison/jail admin roles, stern disposition",Neutral to Slightly Malefic,Moderate,Rare,If one of the houses is not occupied,Three Hundred Important Combinations,125,,Career in confinement-related fields,"Nabhasa, Akriti, Administrative Yoga",Also known as Sara Yoga,Chart No. 49 in the book
73,Sakti Yoga,Nabhasa - Akriti Yoga,"Weakness, Unpopularity","All planets occupy 7th, 8th, 9th, and 10th houses",All 7 planets,7th to 10th,,Not required,Continuous sequence required,"Lazy, disliked, lacking wealth",Malefic,Mild to Moderate,Rare,Disrupted house sequence,Three Hundred Important Combinations,125,,Planets near culmination; may indicate karmic burden,"Nabhasa, Akriti, Challenging Yoga",,Not specified
74,Danda Yoga,Nabhasa - Akriti Yoga,Domestic Misery,"All planets occupy 10th, 11th, 12th, and 1st houses",All 7 planets,10th to 1st,,Not required,No gaps among occupied houses,Unhappiness due to spouse and children,Malefic,Moderate,Occasional,Any break in planetary sequence,Three Hundred Important Combinations,125,,"Planets about to rise, hence cause disruption","Nabhasa, Akriti, Domestic Issues",,None specified
75,Nava Yoga,Nabhasa - Akriti Yoga,"Trade, Ambition, Prosperity",All planets occupy seven continuous houses from Lagna,All seven planets,1st to 7th,,Not mentioned,No gaps in occupied houses,"Wealth through trade, ambition, potential fame",Mixed,Moderate to Strong,Rare,Any house in the sequence unoccupied,Three Hundred Important Combinations,Approx. 125,,Symbolizes a boat—balanced distribution across half-chart,"Akriti Yoga, Nabhasa Yoga",,
76,Kuta Yoga,Nabhasa - Akriti Yoga,"Obstruction, Hardships",All planets occupy four contiguous houses from 4th to 7th,All seven planets,4th to 7th,,Not mentioned,Continuous occupation required,"Secretive, builds slowly, often experiences suffering",Malefic,Moderate,Rare,Non-continuity among occupied houses,Three Hundred Important Combinations,Approx. 125,,Represents a fort—obstructive influence on growth,"Akriti Yoga, Nabhasa Yoga",,
77,Chhatra Yoga,Nabhasa - Akriti Yoga,"Honor, Protection, High Office",All planets in seven contiguous houses from 7th to Lagna (reverse arc),All seven planets,7th to 1st,,Not mentioned,Planets must form an unbroken arc,"Fame, royal favor, governmental power",Benefic,Strong,Rare,Gaps in planetary arc,Three Hundred Important Combinations,Approx. 125,,Represents a royal umbrella—indicative of protection,"Akriti Yoga, Power Yoga",,
78,Chapa Yoga,Nabhasa - Akriti Yoga,"Wanderer, Hermit Life, Nonattachment",All planets from 10th to 4th houses (lower arc),All seven planets,10th to 4th,,Not mentioned,Unbroken planetary alignment,"Inclined to wandering, mystical, self-contained",Mixed,Moderate,Rare,Non-continuous house occupation,Three Hundred Important Combinations,Approx. 125,,Symbolizes a bow—hidden strength and tension,"Nabhasa Yoga, Akriti Yoga",,
79,Ardha Chandra Yoga,Nabhasa - Akriti Yoga,"Warrior Instinct, Travel, Intelligence",Planets placed continuously from 6th to 12th,All seven planets,6th to 12th,,Not mentioned,Contiguous house occupancy required,"Smart, brave, possibly confrontational, resourceful",Mixed,Moderate to Strong,Rare,If a house is unoccupied in the arc,Three Hundred Important Combinations,Approx. 125,,Represents the crescent—growing strength,"Warrior Yoga, Akriti Yoga",,
80,Chakra Yoga,Nabhasa - Akriti Yoga,"Leadership, Success",All planets in odd-numbered houses,All seven planets,"1st, 3rd, 5th, 7th, 9th, 11th",,Not required,Full occupation of odd houses,Prominence in government or public life,Benefic,Strong,Very Rare,Missing any odd house occupation,Three Hundred Important Combinations,Approx. 126,,Symbolizes full vitality—odd houses govern dharma and success,"Akriti Yoga, Chakra Yoga",,
81,Gada Yoga,Nabhasa - Akriti Yoga,"Power, Stability",Planets in 1st and 4th OR 7th and 10th houses,All seven planets,Either two adjacent Kendras,,Not specified,Balanced placement in chosen Kendras,"Respected, generous, skilled in arts, brave",Benefic,Strong,Occasional,Missing planets in one Kendra,Three Hundred Important Combinations,Approx. 126,,Gada means mace—a tool of power and order,"Akriti Yoga, Power Yoga",,
82,Sakata Yoga,Nabhasa - Akriti Yoga,"Inconsistency, Reversal",All planets in 1st and 7th houses only,All seven planets,1st and 7th,,Not required,Must have full planetary occupation in both houses,"Ups and downs in fortune, frequent instability",Malefic,Low to Moderate,Rare,Lack of full planetary placement,Three Hundred Important Combinations,Approx. 126,,Symbolizes a cart—symbolic of movement and uneven ride,"Akriti Yoga, Reversal Yoga",,
83,Vihaga Yoga,Nabhasa - Akriti Yoga,"Wandering, Instability, Independence",All planets in 4th and 10th houses only,All seven planets,4th and 10th,,Not required,Exact distribution between 4th and 10th,"Restless, fond of travel, often detached from family life",Mixed,Moderate,Occasional,If any planet not in 4th or 10th,Three Hundred Important Combinations,Approx. 126,,‘Vihaga’ means bird—symbolizing detachment and flight,"Akriti Yoga, Movement, Detachment",,
84,Vajra Yoga,Nabhasa - Akriti Yoga,"Courage, Honor, Mixed Fortunes",Benefics in 1st and 7th; Malefics in 4th and 10th houses,Benefics and Malefics,"Kendras (1, 4, 7, 10)",,Not mentioned,Benefics and malefics must be clearly grouped,"Brave, happy in youth and old age, but troubled in middle life",Mixed,Strong,Occasional,If placements are reversed or incomplete,Three Hundred Important Combinations,Approx. 126,,‘Vajra’ means thunderbolt—sudden bursts of strength and power,"Akriti Yoga, Kendras, Mixed Karma",,
85,Yava Yoga,Nabhasa - Akriti Yoga,"Charity, Dignity, Honor",Malefics in 1st and 7th; Benefics in 4th and 10th houses,Benefics and Malefics,Kendras,,Not mentioned,Same as Vajra but reversed placement,"Rich, virtuous, charitable, earns dignity and honor",Benefic,Strong,Occasional,Incorrect Kendra occupation,Three Hundred Important Combinations,Approx. 126,,Yava means barley—linked with prosperity through piety,"Akriti Yoga, Charity, Spirituality",,
86,Sringataka Yoga,Nabhasa - Akriti Yoga,"Spirituality, Royal Service, Intelligence","All planets in Trikonas (1st, 5th, 9th houses)",All seven planets,"1st, 5th, 9th",,Not required,Each Trikona house must be occupied,"Wise, spiritual, gains wealth through royal association",Benefic,Strong,Rare,Missing planet from any Trikona,Three Hundred Important Combinations,Approx. 126,,"Sringataka means ‘three-peaked’—symbolizing dharma, wisdom","Akriti Yoga, Trikona, Raja Yoga",,
87,Hala Yoga,Nabhasa - Akriti Yoga,"Agriculture, Labor, Simple Life","Planets in 2nd, 6th, and 10th or 3rd, 7th, 11th or 4th, 8th, 12th",All seven planets,Any complete triad like Upachayas or Dusthanas,,Not mentioned,All three designated houses fully occupied,"Simple life, may work in agriculture or with animals",Malefic to Neutral,Moderate,Rare,Incomplete triad occupation,Three Hundred Important Combinations,Approx. 126,,Hala means plough—linking to rural and labor themes,"Akriti Yoga, Agriculture, Simplicity",,
88,Kamala Yoga,Nabhasa - Akriti Yoga,"Royalty, Riches, Respect","All planets in Kendras (1st, 4th, 7th, 10th)",All seven planets,"1st, 4th, 7th, 10th",,Not mentioned,Kendras must all be occupied,"King-like, virtuous, wealthy, honored",Highly Benefic,Strong,Very Rare,Empty Kendra,Three Hundred Important Combinations,Approx. 126,,"Kamala means lotus—suggests regal, divine status","Akriti Yoga, Kendras, Raja Yoga",,
89,Vapee Yoga,Nabhasa - Akriti Yoga,"Comforts, Wealth through Land or Inheritance","All planets in Panaphara or Apoklima houses (2, 5, 8, 11) or (3, 6, 9, 12)",All seven planets,"2, 5, 8, 11 or 3, 6, 9, 12",,Not mentioned,All planets must occupy one of these 4-house groups,"Owner of land, water bodies, wealth through family",Benefic,Moderate to Strong,Occasional,Planets not contained in 4 matching houses,Three Hundred Important Combinations,Approx. 126,,Vapee means pond—emphasizes beauty and reserves,"Akriti Yoga, Inheritance, Land Owner",,
90,Samudra Yoga,Nabhasa - Akriti Yoga,"Luxury, Public Popularity","All planets in even houses (2, 4, 6, 8, 10, 12)",All seven planets,Even-numbered houses,,Not mentioned,Even houses fully occupied,"Lives like a king, famous, rich, owns precious items",Benefic,Strong,Rare,Odd house occupation,Three Hundred Important Combinations,Approx. 126,,"Samudra means ocean—vast resources, recognition","Akriti Yoga, Wealth, Fame",,
91,Vallaki Yoga,Nabhasa - Sankhya Yoga,"Music, Art, Intelligence",All planets occupy 2 houses,All seven planets,Any 2 houses,,Not required,Planets evenly distributed across two houses,"Fond of music, polite, wise, creative thinker",Benefic,Moderate,Rare,Planets in more than two houses,Classical Nabhasa Yogas,"Not found in text, derived from standard lists",,Named after the veena—indicates artistic temperament,"Sankhya Yoga, Art Yoga",,
92,Damini Yoga,Nabhasa - Sankhya Yoga,"Valor, Wealth, Charisma",All planets occupy 3 houses,All seven planets,Any 3 houses,,Not required,Even distribution preferred,"Powerful, wealthy, well-dressed, fearless",Mixed,Strong,Occasional,Planets occupy more or fewer than 3 houses,Classical Nabhasa Yogas,Not listed explicitly in Raman’s text,,Damini means lightning—represents sudden brilliance,"Sankhya Yoga, Charisma",,
93,Pasa Yoga,Nabhasa - Sankhya Yoga,"Attachment, Social Bonds",All planets occupy 4 houses,All seven planets,Any 4 houses,,Not required,Even grouping enhances effect,"Affectionate, attached to family and society, reputation among peers",Generally Benefic,Moderate,Common,More than 4 houses involved,Classical Nabhasa Yogas,Inferred from tradition,,Pasa means rope or noose—symbolizing binding attachments,"Sankhya Yoga, Family Bond",,
94,Kedara Yoga,Nabhasa - Sankhya Yoga,"Hardworking, Agriculture, Simplicity",All planets occupy 5 houses,All seven planets,Any 5 houses,,Not required,Steady distribution,"Humble, hardworking, practical, service-oriented",Neutral to Benefic,Mild,Relatively common,Planets in more or fewer houses,Common in Sankhya yoga descriptions,Classical yoga – not numbered in Raman’s book,,Kedara means field—focus on simplicity and toil,"Sankhya Yoga, Labor Yoga",,
95,Sula Yoga,Nabhasa - Sankhya Yoga,"Warrior, Authority, Harsh Speech",All planets occupy 6 houses,All seven planets,Any 6 houses,,Not required,Wider spread implies stronger effects,"Brave, authoritative, sometimes harsh or cruel",Mixed to Malefic,Moderate,Less common,More or fewer than 6 houses used,Classical Sankhya Yoga lists,Not in B.V. Raman’s primary index,,Sula means spear—indicates piercing logic or harsh action,"Sankhya Yoga, Warrior, Harshness",,
96,Yuga Yoga,Nabhasa - Sankhya Yoga,"Dual Nature, Balance",All planets occupy 7 houses,All seven planets,Any 7 houses,,Not required,No clustering of too many planets in one house,"Dual-minded, skilled in multiple areas, balance between material/spiritual",Mixed,Moderate,Occasional,Planets in fewer or more than 7 houses,Traditional sources on Nabhasa Yogas,Inferred,,Yuga means pair or era—symbolizes blending of qualities,"Sankhya Yoga, Balance",,
97,Gola Yoga,Nabhasa - Sankhya Yoga,"Scattered Mind, Lack of Focus",All planets occupy all 7 houses (each in separate house),All seven planets,7 houses (non-repeating),,Not required,Each planet in its own house,"Restless, less concentrated, struggles with sustained goals",Neutral to Challenging,Mild,Relatively rare,Overlap of planets in same house,Classical astrology,N/A,,Gola means globe or sphere—symbolizing spread but lack of center,"Sankhya Yoga, Dispersal",,
98,Rajju Yoga,Nabhasa - Asraya Yoga,"Movement, Travel, Wandering","All planets in movable signs (Aries, Cancer, Libra, Capricorn)",All seven planets,Dependent on signs,Movable (Chara) signs,Not required,All planets strictly in Chara signs,"Traveler, unstable residence, shifting careers, action-oriented",Mixed,Moderate to Strong,Rare,Any planet in fixed or dual sign,Classical Nabhasa Yogas,Traditionally listed,,Rajju = Rope; symbolizes movement or swinging conditions in life,"Asraya Yoga, Travel, Mobility",,
99,Musala Yoga,Nabhasa - Asraya Yoga,"Stability, Rigidity, Determination","All planets in fixed signs (Taurus, Leo, Scorpio, Aquarius)",All seven planets,Dependent on signs,Fixed (Sthira) signs,Not required,Complete confinement to fixed signs,"Determined, stubborn, conservative, rarely changes opinion or residence",Neutral to Benefic,Moderate,Rare,Presence of planet(s) in non-fixed signs,Classical Nabhasa Yogas,Traditionally included,,"Musala = Pestle; steady and powerful, but slow to adapt","Asraya Yoga, Fixed Sign Emphasis",,
100,Nala Yoga,Nabhasa - Asraya Yoga,"Flexibility, Skill, Intelligence","All planets in dual signs (Gemini, Virgo, Sagittarius, Pisces)",All seven planets,Depends on signs,Dual (Dwiswabhava) signs,Not required,All planets in dual signs only,"Flexible, talented, capable in multiple fields, social and learned",Generally Benefic,Strong,Occasional,Presence in any non-dual sign,Classical texts,Traditionally recorded,,"Nala = Reed; represents adaptability, like reeds swaying with wind","Asraya Yoga, Talent, Flexibility",,
101,Srik Yoga,Nabhasa - Dala Yoga,"Virtue, Affluence, Grace",Benefic planets occupy 2nd and 12th houses from Lagna,"Jupiter, Venus, Mercury (benefics)",2nd and 12th,,Not specified,Planets unafflicted,"Graceful, charitable, happy, wealthy, sweet-spoken",Benefic,Strong,Occasional,Malefic occupation or affliction,Classical Nabhasa Yogas,Tradition-based,,Srik means prosperity or Lakshmi—indicates auspicious life,"Dala Yoga, Wealth, Virtue",,
102,Sarpa Yoga,Nabhasa - Dala Yoga,"Suffering, Deceit, Obstacles",Malefics occupy 2nd and 12th houses from Lagna,"Saturn, Mars, Rahu, Ketu (malefics)",2nd and 12th,,Not required,Malefics strong and unafflicted,"Cheats others, suffers hardships, antisocial tendencies",Malefic,Moderate to Strong,Occasional,Presence of benefics in 2nd/12th or combustion,Classical Nabhasa Yogas,Traditionally mentioned,,Sarpa = snake—deceptive and spiritually binding nature,"Dala Yoga, Malefic Effect",,
